title,release.name,artist.name,terms,year
Sugar Daddy,Relaxin' With Tyrone,Tyrone Davis,chicago soul,0
Said You'd Be,(ONe),The Panic Channel,post-grunge,2006
Precious Lord_ Take My Hand,Cajun Hymns,Jo-El Sonnier,bluegrass,0
Livin' Lovin' Wreck,No Introduction Necessary,Jimmy Page_ John Paul Jones_ Albert Lee_ Nicky Hopkins_ Big Jim Sullivan_ Clem Cattini_ Chris Hughes,british blues,0
Flamingos,Great African Moments,Michael Whalen,meditation,0
Little Silver Bells,Elton Britt: Ridin With Elton,Elton Britt,honky tonk,0
Under Attack,N Ster Vir My,Ice,dub,0
Off The Record,13 Aurores,Jean Fauque,los angeles,0
You Hit The Nail On The Head,Blues At Midnight,Bobby "Blue" Bland,soul blues,0
Prequel To The Sequel (Album Version),Colors,Between The Buried And Me,alternative metal,2007
Gosto de VocAa Demais,Amor en Bossa Nova,Reginaldo Bessa,samba,0
Drifting Away,Faithless Live In Cannes EP,Faithless,progressive house,1996
Rock The Night,Hymns In The Key Of 666,Hellsongs,twee pop,2008
Fried Neckbones And Home Fries,Tropical Spirits Parts I & II,Santana,blues-rock,0
(I'm So) Afraid Of Losing You Again,Super Hits,Charley Pride,honky tonk,1970
Duck And Run,Another 700 Miles,3 Doors Down,post-grunge,1999
The Heavenly Place,Sweet Talkin' Girls: The Best Of The Chiffons,THE CHIFFONS,doo-wop,0
Likambo,Rumba Congo,KA(c)kA(c)lA(c),soukous,2001
Please Baby Blues,The Earls Of Duke,Little Junior Parker,soul blues,0
Cry Of The Earth,Sacred Memories,Cybertribe,chill-out,1998
I Versus I,The Undisputed Truth,Seventh Star,christian hardcore,2007
A Crow Left Of The Murder,Live in Japan 2004,Incubus,funk metal,2004
Moisture,Live&Greetings From the Flow State,Dishwalla,post-grunge,1995
Shitzzo,Shitzzo EP,Marco Polo,turnablism,0
Stack and Pile,Stack and Pile,Beenie Man,dancehall,0
I Still Haven't Found What I'm Looking For,Babies Go U2,Mariano Yanani,lullaby,2003
Dark Flashes,Andy Warhol: A Documentary Film,Brian Keane,world beat,0
Ek Pardesi DiA ,Ek Pardesi,Naseebo Lal,italian disco,0
Ice Cream Cone,Buzz Buzz,Laurie Berkner,death core,2001
Wonderland,I See Stars - The Trance Album,Robin Fox,breakbeat,2001
Goody Two Shoes,Friend Or Foe,Adam Ant,pop rock,1982
Telecommunication,Aux,Statues,power pop,0
Borin Fuckin Town,Rehab,Rusted Shut,modern rock,0
Olive Oil,Squirrel And G-Man Twenty Four Hour Party People Plastic Face Carnt Smile,Happy Mondays,alternative dance,1987
St. Patrick's Day,Room For Squares,John Mayer,rock,0
Assis par terre,Une petite pause,Pascal Sangla,french pop,2010
Agrippina : Act 3 "Bel piacere A" godere fido amor!" [Poppea],Handel Edition Volume 4 - Samson_ Messiah & Arias from Rinaldo_ Serse etc,Marilyn Horne,opera,0
Llamado De Emergencia,Talento De Barrio,Daddy Yankee,reggaeton,2008
He'll Deliver Me,Songs For A Lifetime,Janet Paschal,southern gospel,0
Don't Go Breaking My Heart (LP Version),WHAT THE WORLD NEEDS NOW IS BURT,Sergio Mendes,samba,0
Million Miles,The Things We Left Behind,Blue Rodeo,country rock,2009
She's On That Revivalism,Suburban Empire,John Brown,hard trance,0
I Don't Want To Let You Go,Raditude,Weezer,pop rock,2009
Aff E'chad (Nobody) (Live),Hadag Nahash - LIVE,Hadag Nahash,hip hop,0
At The Movies (1991 Digital Remaster),Rock For Light,Bad Brains,hardcore punk,1983
Check It (Explicit),Here Come the Lords,Lords Of The Underground,hip hop,1993
Into The Mouth Of Hell We March [Explicit],Shogun,Trivium,alternative metal,2008
Sweet Love,25 Years/25 Songs,Mary Black,country rock,0
Black Market Hell,Knives,Aiden,post-hardcore,2009
A Word From Deacon Jones [A Local Cable Access Ministry] (LP Version),Remotely Controlled,Mark Lowry,ccm,0
Rainbow Jungle (Dub / Instrumental Reggae Music),Jungle Signal,Mikey Dread,roots reggae,0
Wind Beneath My Wings,Ryan Dan,RyanDan,neoclassical,2007
Salva Mea,Ibiza 1991 - 2009,Faithless,progressive house,1995
Tu Robaste Mi Corazon,Todos Mis Exitos Vol. 2,Selena,tejano,0
Declaration of Independence,Under the Influence,Marquez the Greatest,stand-up comedy,0
Reborn (Explicit),Full Circle,Drowning Pool,post-grunge,2007
Vad tvAY= APron klarar,Kent,Kent,post-grunge,0
El Gran SeA+-or,12 Vivos,Los AutA(c)nticos Decadentes,cumbia,1997
En AlgAon RincA3n,La Extraordinaria Paradoja Del Sonido Quijano,CafA(c) Quijano,pop rock,1999
The Way I Am,Without Me,Eminem,hip hop,2000
The Air Force song : Evening colors sequence,America's bugle calls,The Sun Harbor's Chorus-Documentary Recordings,patriotic,0
22 (Acoustic),It's Not Me_ It's You (Special Edition),Lily Allen,ska,2009
Revolver [Tracy Young's Shoot To Kill Remix],Revolver,Madonna,dance pop,0
Hey Joe,20th Century Masters: The Millennium Collection: Best Of Roy Buchanan,Roy Buchanan,blues-rock,1974
Nino ven pa'ca,Borboreo,Juan Carmona,flamenco,0
NA1/4t isch fA1/4r immer,Morgarot,Mayday,folk-pop,0
They Ride By Night,Dramatic Story,Charles Williams,latin jazz,0
Abscondence,Kite,Sun Yan-Zi,chinese music,2001
Dialogue et final si j'avais su,ChristinA(c): Dede,Maurice Chevalier / FranASSoise Dorin / Marina Hottine / Suzanne Gabriello / Jo Charrier / Marcel Carpentier / Perrette Souplex / Andree Grandjean / Cadet Rivers / Raymond Girerd / Orchestre De Jacques-Henri Rys / Jacques Henri Rys,chanson,0
Make The World Go Away,Karaoke: Country Super Stars - Singing to the Hits,Ray Price,honky tonk,1989
Sirius Calling,Sirius Calling,Art Ensemble Of Chicago,free jazz,2004
Fungus,Bodhisattva,Swim,rock,0
Plecaciunea mortii,Maiastru Sfetnic,Negura Bunget,black metal,0
Don't Keep Me Wondering,Best Of Buddy Miles,Buddy Miles,blues-rock,1997
Ace Insurance Man,Local Gentry,Bobbie Gentry,country blues,1968
Ellen Disingenuous,Ellen Disingenuous,Busdriver,alternative hip hop,0
Ballin' the Jack,Little Miss Dynamite,Brenda Lee,ballad,0
Oedipus Rex_ Atto Primo: Liberi_ Vos Liberabo (Oedipus) (Stravinsky),Karajan: Stravinsky - Oedipus Rex; Bruckner - Te Deum,Herbert  von Karajan,opera,0
IA'm Throwing Rice,HEP CAT BABY,Eddy Arnold,honky tonk,0
Me Decidi,Atada,Gisselle,merengue,0
In Pursuit of the Implicate Order of Cultural Chaos,New Hope for the Dead,Mira,shoegaze,0
I Love Me (I'm Wild About Myself) (2005 Digital Remaster),Greatest Hits,Mel Blanc,easy listening,0
Dedicated,Groove Approved,Paul Carrack,blue-eyed soul,1989
Got To Make Me Love You,Reggae Max,Tyrone Taylor,lovers rock,0
Pathfinders,Wyrd,Elvenking,folk metal,2004
The Deep Blue Sea,Live In Concert,The Irish Rovers,irish folk,0
Shrivasta,The Road Home,William Coulter,celtic,0
City Of Screaming Statues,Gardens Of Grief,At The Gates,death metal,1991
Hey Louise,The Jazz Singer Original Songs From The Motion Picture,Neil Diamond,soft rock,1980
Three Little Words,Both Rock 'N' Roll,The Refreshments,post-grunge,0
Old Gobbler the Hound Dog,Replay: Johnny Horton,Johnny Horton,country rock,0
My Heart's Desire,As Long As You Want This,Kane,blues-rock,2004
Flipside,Before The L.O.X.,Bomb Squad,funk rock,0
Quand on est amoureux,XL60 Remix-Jeunesse 1,Les Hou-Lops,freakbeat,1964
Hard Times,Eastmountainsouth,Eastmountainsouth,alternative country,2003
Superconstellation,Travel Without Leaving The Bed,:Blacks On :Blondes,ghetto tech,0
Another World (Album Version),Blank Generation,Richard Hell & The Voidoids,no wave,1977
I Like Young Girls,Here's To The Losers,Love Jones,bossa nova,1993
Softcore,Soul Zouk,V'ro,zouk,2003
Ragoo,Because Of The Times,Kings Of Leon,southern rock,2007
Tears Falling Down,West Coast Diaries Vol.1-cass.,Charlie Peacock,ccm,1988
Drop The Hammer,Bone To Pick,The Gone Jackals,blues-rock,1995
The Poet And The Pendulum,Dark Passion Play,Nightwish,sympho black metal,2007
Olivia,Total Reggae: Island Vibes,Shinehead,dancehall,1999
Expeditions,The Lakeshore,From Dying Skies,post-hardcore,0
Firehouse Rock,Firehouse Rock,Wailing Souls,roots reggae,1980
Dengoso,O ViolAPSo Brasileiro de TurAbio Santos,Turibio Santos,choro,0
One King (Album Version),One Wintry Night,David Phelps,ccm,0
Silent Partner (Peace Out),What Does It All Mean? - 1983-2006 Retrospective,Steinski,hip hop,2003
Like A Hurricane,20 Favorites,Eddy Raven,zydeco,0
Un nuevo amor (version salsa),Por Siempre,Tranzas,salsa,2000
Time Travel,The Time Machine,Klaus Badelt,chill-out,2002
Hit my heart,Hit my heart,JK,eurodance,0
Revitalise,Rum & Coke,Dub Pistols feat. TK,big beat,2009
She Will Love You (Album Version),Conviction,Aiden,post-hardcore,2007
Why Wouldn't I (featuring Fabolous & Paul Cain),The Desert Storm Mixtape: DJ Envy Blok Party Vol. 1,DJ Envy,gangster rap,0
Ghosts_ Second Variation,Bells / Prophecy,Albert Ayler,free jazz,0
What Is This,Perfection,Perfection,eurodance,0
The Christmas Song (Chestnuts Roasting On An Open Fire),A Jazzy Wonderland,Fred Simon,meditation,0
Menutha,Album 95,Tony Joe White,country rock,1999
Hum Drum,True Story,Terror Squad / Remy / Prospect / Armageddon,hip hop,2004
Wild Talk [Live],Osaka After Dark,D.A.D.,rock 'n roll,0
Your Chance To Rock,Days Of Way Back,Rodney O & Joe Cooley,miami bass,0
You Are!,You Are! Remix Box,Christian Quast,tech house,0
Assface,Always Was_ Is_ and Always Shall Be,G.G. Allin,rock 'n roll,0
I'm Real,J.Lo,Jennifer Lopez featuring Ja Rule,dance pop,2001
Seasick,Global Village Idiots,The Bureau De Change,digital hardcore,0
Perfect Moment,Ojo,Darden Smith,blues-rock,2002
Nom' Mayi,DA(c)dA(c) Saint-Prix & Pakatak rendent hommage A  Paulo Rosine (1982),DA(c)dA(c) Saint Prix_ Pakatak,zouk,0
SueA+-o Salvaje,Serie Platino,Los Indios Tabajaras,jazz,1997
Say A Little Prayer,Best of 1991-2001 Hidden Harvest,Mary Black,country rock,0
Clavelitos,Se PegA3...!,Charanga de la 4,charanga,0
He That Dwelleth (Psalm 91) (In My Dreams Album Version),12 Best Loved Songs,Daryl Coley,ccm,0
Unholy Outburst #3,The Tomb,Ramesses,doom metal,2005
You Better Look Out,Cold Shot!,Johnny Otis Show,blues,0
In John Fahey There Is No East or West (feat. John Doan),Friends Of Fahey Tribute,John Doan,celtic fusion,0
Nu Ren Ben Se,The Best Remix of Sammi Cheng,Sammi Cheng,cantonese pop,0
In Progress (Original Mix),Hotel St Tropez - La Suite Deluxe,Trentemoller,tech house,2009
Big John's A-Blowin',I'm The Fat Man,Big John Greer,jump blues,0
Papi Chulo (Extended Mix),Papi Chulo,Lorna,reggaeton,0
Soldiers At War feat. Kon Juan_ Big Scoob_ Short Nutty_ L.V.,Calm Before the Storm,Tech N9ne,gangster rap,0
Harder To Breathe,Songs About Jane,Maroon 5,pop,2002
From Tense To Loose To Slack,The Keys,The Keys,power pop,0
Disco Jonki,Vafalungo,Dusminguet,rumba,1998
Electron libre,Vers l'imaginaire,Clarisse Lavanant,chanson francaise,0
Five For Ellis,Aquarela Do Brasil,Toots Thielemans,latin jazz,0
Padam padam,Voyages,Marc Perrone,musette,0
Campeones De La Vida,20 AA+-os,Alejandro Lerner,pop rock,0
Cold Shot,Soul To Soul/ Texas Flood/ Couldn't Stand The Weather,Stevie Ray Vaughan And Double Trouble,texas blues,1985
Simple Lullaby (Do Maj),7 note 7,Claudio,kizomba,0
Cendrier,Safari CroisiA"re,Java,musette,0
Any Way You Want Me To,Drive,Jamie Richards,honky tonk,0
Playing In The Dirt,Believe It!,Joanna Connor,blues-rock,0
Firepower (The Tables Have to Turn) (Explicit) (Feat. Capleton),20/20,Dilated Peoples Featuring Capleton,turnablism,2006
Stop The World And Let Me Off,Walking After Midnight,Patsy Cline,country rock,0
Thank You,FA$?rger,Saga,hard rock,0
Its Cool,Back To My Place Baby  Seductive Soul,Walter Jackson,northern soul,0
Nastaran,Jaane Maryam - Persian Music,Mohammad Nouri,patriotic,0
Voyagers - Improvisation 12,Voyagers,R. Carlos Nakai,chamber jazz,0
Chega De Sausade,That's Amore (The Best Of Classic Lovesongs From Old 50s),Elizete Cardoso,samba,0
Tumba Randy,Virgen De La Caridad,Anthony Blea Y Su Charanga,salsa,2004
La Traviata - highlights (1990 Digital Remaster): Ah_ non piA1 (Alfredo/Violetta),Verdi - La Traviata (Highlights),Maria Callas/Giuseppe di Stefano/Ettore Bastianini/Silvana Zanolli/Luisa Mandelli/Giuseppe Zampieri/Arturo La Porta/Antonio Zerbini/Silvio Maionica/Coro e Orchestra del Teatro alla Scala_ Milano/Carlo Maria Giulini,opera,0
This Is A Gang,Music To Driveby,CMW - Compton's Most Wanted,gangster rap,1992
Purple Pygmies,Eclipse,Walter Ego,chill-out,1998
GAPzlerinde HA1/4zA1/4n,Sessiz  Bir Kelebegin RA1/4yalari Ve Danslari,Tayfun,hard trance,0
Mathilda,Cajun Jay,Jay Randall,zydeco,0
Hey Joe,Replay: Carl Smith,Carl Smith,honky tonk,1993
Ai Ji Mei Gui 1000 Da,Faces And Places,Sandy Lam,chinese music,0
Nudez,Vana-Va-Ndota,Ghorwane,marrabenta,0
Lazy Day,Lost Treasures: Rare And Unreleased,Herb Alpert And The Tijuana Brass,smooth jazz,0
My God  (Audio Adrenaline Album Version),Audio Adrenaline,Audio Adrenaline,ccm,1992
Green And Blue,Comparsa,Deep Forest,chill-out,1997
The Possibilities of Loving You,Welcome To The Wild Country,Francis Dunnery,singer-songwriter,1991
Antes (Salsa Version),Confesiones,Obie Bermudez,salsa,2003
Puritania,Alive in Torment,Dimmu Borgir,black metal,2001
Sans ton amour,En toute complicitA(c),Bonita & Jerry Cormier,reggaeton,0
Tropical Nights,Clarence Profit,Clarence Profit,lullaby,0
Pound a Weed,Life is a Stage,Mikey Dread,roots reggae,0
baby Wayo,Bottom Belle,African Rhythm Messengers,highlife,0
San Agustin,Superpop Venezuela,Los Amigos Invisibles,funk rock,0
Popovic,Long Before Rock 'n Roll,Mando Diao,blues-rock,2006
This World Is Not My Home,King of the Gospel Singers,James Blackwood with The Light Crust Doughboys,southern gospel,0
Boom-Shack-A-Lack (12" Mmix / Bonus Tra),Boom-Shack-A-Lack,Junior Reid,roots reggae,1998
I've Got You Under My Skin,Jump_ Jive an' Wail: The Essential Louis Prima,Louis Prima And Keely Smith,space age pop,1960
The Ram And The Scorpio,In Search Of A Dream,Alphonse Mouzon,jazz funk,1977
Tango de la Flor (Album Version),Alba Molina,Lole y Manuel,flamenco,0
Everybody's boppin',Live at FIP,Ben Sidran,smooth jazz,0
We Are One Light,Echoes Of Tomorrow,Aeoliah,meditation,0
Ode To Billie Joe  (Live @ Fillmore West),The Platinum Collection,King Curtis,instrumental rock,2007
I'm Only Out For One Thang (Explicit) (Feat. Flavor Flav),AmeriKKKa's Most Wanted (Explicit),Ice Cube Featuring Flavor Flav,gangster rap,0
Michael & His Slipper Tree '93,Michael & His Slipper Tree '93,The Equals,pop rock,0
Swan Lake,Plays Boleros,Brazilian Tropical Orchestra,bossa nova,0
LAIVAMATKA WC:SSA,Ollaan Elaimia,M.A. Numminen,german pop,0
I'm Not Afraid When I'm With You,The Cost Of My Freedom,Ken Yokoyama,japanese,0
Mighty Army Band,Signed Sealed Delivered,Gold City,southern gospel,0
Swinging On A Star,Christmas With The Stars,Big Dee Irwin,northern soul,1990
You Got Me (The Juan Maclean Dub),You Got Me,VHS Or Beta,disco,2006
Hey Joe,Honky Tonk Rockabillies_ Volume 1,Carl Smith,honky tonk,1993
Circle Round The Moon,Complete Recordings_ CD C,Charley Patton,delta blues,1990
A Fistful Of Dollars (1994 Digital Remaster),Grand Slam - The Best Of Babe Ruth,Babe Ruth,neo-progressive,0
Essa Marie,Tristeza,Samba Trio,bossa nova,0
Playboy Foundation,It Is What It Is,Tammy Pescatelli,comedy,0
Follow Me Up To Carlow,Planxty,Planxty,folk rock,1973
Lies,Fuse_ The,Pennywise,melodic hardcore,2005
In My Bed,Frank,Amy Winehouse,vocal jazz,2003
Boomerang (Reprise),Counterfeit,Cirrus,big beat,2002
Hispaniola A,Drum Set Variations,Pheeroan Aklaff,free jazz,0
Down On My Knees,Joyful,Ayo,neo soul,2006
The Imperial March from The Empire Strikes Back,John Williams - Greatest Hits 1969-1999,John Williams,soundtrack,0
Mr Big Man,Cant Stop Us Now,Junior Reid,roots reggae,0
Morning Glow,Gold,Michael Jackson,motown,1973
The Wedding Samba,Underneath The Arches - 20 British Memories,Edmundo Ros,samba,0
Supreme Girl,Sinners Stick Together,The Sterns,massachusetts,2006
Matilda Mother (Stereo) (2007 Remaster),The Piper At The Gates Of Dawn,Pink Floyd,art rock,1967
Slavinka,Les vacances,Edgar De L'est,musette,2002
Caro! (Colline/Rodolfo/Schaunard/Children/Townspeople/Musetta) (1998 Digital Remaster),Puccini: La BohA"me - Highlights,Alfredo Kraus/Paul Plishka/Matteo Manuguerra/Sherrill Milnes/Trinity Boys' Choir/Ambrosian Opera Chorus/National Philharmonic Orchestra/James Levine,opera,0
El Greco: Movement III,El Greco,Vangelis,progressive rock,1998
Youth Club Dance (Demo),GBH Demos 1977,The Cortinas,new wave,0
Party,Three The Hard Way,Rodney O & Joe Cooley,miami bass,2002
Baila Girl_ Todo Hombre Llorando Por Ti,Los Homerun-es,Daddy Yankee,reggaeton,2003
Little Latin Lupe Lu,The Collection,Righteous Brothers,blue-eyed soul,1975
Rain Down On Me,So Glad You Made It,Kane,blues-rock,2001
You'll Know Where Your Plane Is... (Part 4),Split EP!,Why?,hip hop,0
Pi Jiu Pao Pao (Beer Bubbles),Steve Chou Transfer,Steve Chou,chinese music,0
Stinky Breath,Helium crazy ringtones,Blingtones,turnablism,0
African Typic Collection,The African Typic Collection,Sam Fan Thomas,soukous,1989
Down the Line,Hold Tight,Gregory Isaacs,lovers rock,1979
La maison ou j'ai grandi,En toute complicitA(c),Bonita & Jerry Cormier,reggaeton,0
Tired Of You Clowning,Slim's Shout,Sunnyland Slim,piano blues,0
Anywhere Anytime,Dirty Mind,Sara Melson,lullaby,2008
Hallelujah [Club Mix - Remastered version],100 Chillout Classics,Happy Mondays,alternative dance,0
No Te Apartes De Mi,No te apartes de mi,Yahir,brutal death metal,0
Corcovado,The Latin Side Of Vince Guaraldi,Vince Guaraldi,latin jazz,1964
Red Socks Pugie,Antidotes,Foals,dance-punk,2008
War Of The Worlds,Sci-Fi Themes,The London Theatre Orchestra,ragtime,0
Ain't No Sunshine,Love Songs,Michael Jackson,motown,1972
I Want You (Album Version),Fireflies,Faith Hill,country,2005
Sarah Palin {I Wanna Lay Pipe} [Remix],John Brown Or Die: A Revival You Can Believe In,John Brown,hard trance,0
Going Back To Memphis,Jug Band Waltz,Memphis Jug Band,country blues,2001
Bumbo Red,The Very Best of Capleton Gold,Capleton,dancehall,0
Cleo's Mood,Don't Mess With Mr T,James Taylor Quartet,jazz funk,2007
Test 72,Test EP Vol 1,Mush,breakbeat,0
Deportees,Loose Change,The Gaskets,indie rock,0
Irish Medley - Jigs,French Canadian Irish And Scottish Fiddle Music,Jean Carnigan,celtic,0
Why Should I Cry For You,Babies Go Sting,Mariano Yanani,lullaby,2005
Bang! Bang!,Bang! Bang!,The Knux,alternative rap,2008
It's Different - Original,Leroy Hutson Selected Hits Vol. 2,Leroy Hutson,jazz funk,0
Kickstart My Heart (Album Version),The Anatomy Of,Between The Buried And Me,alternative metal,2006
You Beat The Hell Outta Me,Approved By The Motors,The Motors,power pop,1977
Oye,500,Gertrudis,big beat,2005
Parola di faliero,NobiltA  di strada,Inoki,pop rap,0
Climax,Butterfly Dawn,Loop Guru,downtempo,0
Menuet in the Name of Haydn,Music To My Ears_ A Collection of Music for Children of All Ages - FaurA(c)_ Chopin_ Saint-SaA<<ns_ Schumann_ Borodin_ Bach_ etc,Alan Feinberg,contemporary classical music,0
Las Hermanas Granaditas,68/98,Los Nakos,mexico,0
MikA$? mun pA$?A$?ssA$? nykii,Murskapunkkia,Murskahumppa,suomi rock,0
Dans cette nuit j'ai envie de me perdre,Sjansons patinA(c)es,Didier FranASSois,flamenco,0
I Applaud You  (LP Version),Sunshine,Liquid Gang,nu metal,0
Can't Find My Sadie,Flame In My Heart,Checkers,j pop,0
Sweet Little Sixteen,Le Rock C'Est Ca,Vince Taylor,rock 'n roll,0
Midnight,Rock On,The Refreshments,post-grunge,0
Dame Tu Carino,Salsa Legende - Best of Ray Barretto_ vol. 2,Ray Barretto,latin jazz,0
Rain Keeps Falling Down,Jimmy Witherspoon & Panama Francis' Savoy Sultans,Jimmy Witherspoon,jazz blues,0
Behind The Line Of Grace,Journey of Joy,Karen Peck & New River,country gospel,0
Love Alone,Radiopirate,Kostis Maraveyas,greek,0
Cuenta Conmigo,Besos,MarAa,j pop,0
We Played A Game,South Texas Swing,Adolph Hofner,western swing,0
Il rosso,Matumago X Press,Word,blues-rock,0
Lonley,Never Look Back,Elva Hsiao,j pop,0
Happy,Sieze The Day And Other Stories,Carolyn Arends,ccm,0
El Amor De Mi Vida,Cantan Al Amor Y La Amistad,Israel & Moises,ccm,0
Parasitic Twins,Option Paralysis,The Dillinger Escape Plan,math-core,2010
Concerto in C major_ BWV 594 (after Vivaldi Op.7 No.5) (2007 Digital Remaster): I. 1st Movement,J. S. Bach: The Art of Fugue & 'Vivaldi' Solo Organ Concertos,Lionel Rogg,early music,0
Te Fuiste En Abril,20 Secretos de Amor - Palito Ortega,Palito Ortega,latin pop,0
Dream State,Hypnotic,Paul Taylor,smooth jazz,0
It Ain't A Problem,Port Of Miami,Rick Ross / Carol City Cartel,gangster rap,0
Yellow Brick Road,Humid Teenage Mediocrity,Jack Off Jill,dark wave,1994
Albo,Obsession,Hevia,folk rock,2007
Where Does Rosie Go?,The Legendary Kenny Rogers,Kenny Rogers,country rock,2003
Ihr hated nur (P-Dog Remix),Aber alles in der Welt / Ihr hated nur (Remix),Hecklah & Coch,pop rock,0
Fuckaz,London Zoo,The Bug Featuring Spaceape,illbient,2008
Kyotronics,Eric Release (2041),Erik Tronic,indietronica,0
Y'a d'l'abus,En vrai,Fred Merpol,french pop,0
Rock Tha Party,Introducing&,Bombay Rockers,bhangra,2004
A Puro Dolor,Sensual,Roberto Perera,world fusion,0
Castle of KoFW,Irreverse,Koordinate Of Wonders,chill-out,2006
The Phantom Of The Opera/Wishing You Were Somehow Here Again,Hijo De La Luna,Montserrat CaballA(c),symphonic rock,1994
Vine Pa'echar Candela,Salsa Legende - Best of Ray Barretto_ vol. 2,Ray Barretto,latin jazz,0
Peace With Myself,Dances_ Prayers_ & Meditations For Peace,Nestor Torres,latin jazz,0
When Love Dies,Marlene Dietrich,Marlene Dietrich,chanson,1991
Politrix,Concept Of Life,Beenie Man,dancehall,2006
Soca Mi Nice,Brazilian Sunset,Mongo Santamaria,latin jazz,0
Never Know What You Can Do (Give It A Try) - Original,Leroy Hutson Selected Hits Vol. 2,Leroy Hutson,jazz funk,0
Poema do semba,Live - Ao vivo,Paulo Flores,zouk,0
Everything I Do from Robin Hood,John Williams Plays the Movies,John Williams,soundtrack,0
Carol Of The Bells (Instramental Featuring The Budapest Pops Orchestra),A Greater Vision Christmas,Greater Vision,ccm,0
Train Buffer,Urban Renewal Program - Supplement 1.5,Aesop Rock,underground rap,2002
Going Under,Duty Now For The Future/New Traditionalists,Devo,rock,1981
Skit,The 18th Letter,Rakim,hip hop,1997
Shadows,The Green Ghost Project (Clean),Styles P & The Evil Genius DJ Green Lantern,rap,0
Tables Turn,This Is Love,Ann Nesby,disco house,0
Heal (The Separation) [PM Dawn Alt. Lead Mix],Heal (The Separation),The Shamen,tech house,1996
La petite boite en fer,La petite boite en fer,Mademoiselle Sane,cabaret,0
Rock The House (Explicit),Gorillaz,Gorillaz,hip hop,2001
Carol of the Bells (Album Version),An Intimate Christmas,Danny Wright,easy listening,0
The Invasion (Aka Black Wa Da Da),Chant Down Babylon: The Island Anthology,Burning Spear,roots reggae,0
Jesus_ Lover Of My Soul (Bonus Stereo Trax),Passion: Oneday Live With Road To Oneday Bonus Trax (Stereo Accompaniment Tracks),Passion,ccm,0
Motivator,World Series Of Love,Midwest Product,instrumental rock,2003
IV,Too Bad You're Beautiful,From Autumn To Ashes,post-hardcore,2002
East West,Light & Colours,Thomas Battenstein,guitar,0
Gallows (Album Version),Congregation of the Damned,Atreyu,post-hardcore,2009
Ay Nare Nare,Anadolu Ermeni Halk MA1/4zigi,Grup Knar,digital hardcore,0
Breath Of Fresh Air,Virtuous Woman,Warrior King,roots reggae,2002
You Know How I Do [Live From Bamboozle],Live From Bamboozle 2009,Taking Back Sunday,post-hardcore,0
La chanson des genAats,Best of 40's and 50's_ Vol. 131,Jean LumiA"re,chanson,0
Destiny,Inspirational Vibes,Buju Banton,roots reggae,1997
La Nuit,Mauvaise Etoile,Patrick Eudeline,chanson francaise,0
Io Vivo,Io Vivo,Piero Esteriore,ballad,0
CafA(c) Sarajevo,Petit Coeur Assassin,Lara,visual kei,0
She Left Me A Mule ,Voices Of Americana: Sonny Landreth,Sonny Landreth,blues-rock,1999
Fanfara,Chillhouse Planet_ Vol. 2,Save As,soul music,0
To Go Home,The What Of Whom,Daniel Johnston,power pop,1982
Get 'em,Red Gone Wild,Redman / Saukrates / Icadon,hip hop,0
High Horse,Beasts of Burden,Workhorse,dirty south rap,2007
Calm Down Dad,Calm Down Dad,Helen Love,power pop,0
Dragonfly,Dragonfly - Live at Folk im Schlosshof,Connemara Stone Company,celtic rock,0
Romanza,Sincerely_,Hard Romantic,nu jazz,0
Tu Vuo_ Fa_ L_ Americano,The Italian Sessions,Rita Chiarelli,blues,0
September Song,Classical Katz,The Chico Hamilton Quintet With Fred Katz_ Paul Horn_ John Pisano_ Carson Smith,soul jazz,1997
Tu Quieres Volver,Greatest Hits,Gipsy Kings,flamenco,1987
Intro/Whatcha Gonna Do about It,The Atlanta Years,Humble Pie,blues-rock,0
Stop That Thing,Legendary Country Blues Artists - CD A,Sleepy John Estes,country blues,1935
Duh Duh Da,The Next Generation,Lidell Townsell,deep house,0
Drumroll (We're All Thirsty),Never Better,P.O.S,alternative hip hop,0
Intro,The Professional,DJ Clue / P. Diddy,hip hop,1998
Bodyfly (Dynamix original version),Tribal Sunrise Volume 4,Dynamix,goa,0
Brampton To Roadhead,Gathering,Gathering,trip rock,0
Bigbigkiss,Love And Glitter_ Hot Days And Musik,Helen Love,power pop,2000
Cable,Split,Languis,glitch,0
Walking To Jerusalem,Love Lessons,Tracy Byrd,honky tonk,1996
Q1.1 Edit,BCD,Basic Channel,techno,1995
Youre nobody till somebody loves you,Paper Doll,Mills Brothers,vocal jazz,0
She Don't Belong To You,Ten Days In November,Sue Foley,roots rock,1998
Here You Come Again (LP Version),Soul & Inspiration,Barry Mann,ballad,0
Blowin' In the Wind,Dylan Different,Ben Sidran,smooth jazz,2009
Let It All Go,Lyrical Paraphernalia,Krayzie Bone,gangster rap,0
Hummingbird,Outrider,Jimmy Page,british blues,1988
Departure / End Title (Love Theme From Night Of Dark Shadows),House Of Dark Shadows and Night Of Dark Shadows,Dark Shadows,psychobilly,0
Brother Can You Spare A Dime (Album Version),Now And Again,Jim Kweskin with Samoa Wilson,ragtime,0
This Is For My Bitches,Pray IV Reign,Jim Jones featuring Oshy,gangster rap,2009
The Sound Of Music - [High Wycombe Town Hall Live 13 July 1979] (Sound Check),Still [Collector's Edition],Joy Division,alternative,0
Pete's Crusade (12" Version) (2006 Digital Remaster),Anthology: Addicted To Funk,Light Of The World,jazz funk,0
